,회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동생물자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),총포괄이익증가율(IFRS연결),종업원1인당 부가가치증가율(IFRS연결),종업원수증가율(IFRS연결),종업원1인당 매출액증가율(IFRS연결),종업원1인당 인건비증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),외환이익 대 매출액비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),세금과공과 대 세금과공과 차감전순이익률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),R & D 투자효율(IFRS연결),세금과공과 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),사내유보율(IFRS연결),사내유보 대 자기자본비율(IFRS연결),적립금비율(재정비율)(IFRS연결),평균배당률(IFRS연결),자기자본배당률(IFRS연결),배당성향(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),매출채권 대 상,제품비율(IFRS연결),매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),비유동부채 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),상품,제품회전률(IFRS연결),원,부재료회전률(IFRS연결),재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),부가가치(IFRS연결)(백만원).1,법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),임차료(IFRS연결)(백만원),세금과공과(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원).1,총자본투자효율(IFRS연결).1,기계투자효율(IFRS연결).1,부가가치율(IFRS연결).1,종업원수(IFRS연결)
0,(주)CMG제약,058820,2011,1.98,-5.9,0.0,0.0,-12.89,17.64,-1.43,-2.02,56.4,0.0,0.0,0.0,,,,,41.83,3.61,-8.5,2.52,2.37,-5.58,3.51,-8.28,2.45,-5.77,3.02,-7.11,58.17,97.89,-12.1,-12.1,0.8,-0.02,0.26,0.0,-5.05,108.35,15.94,0.0,0.0,0.72,6.87,11.49,22.19,1.61,7.32,8.02,-17.45,,,-32.15,,,,406.28,-35.0,-58.6,,14.65,56.18,17.88,128.23,46.14,43.82,66.05,33.95,82.55,66.34,60.82,200.97,165.03,15.1,325.29,35.59,602.31,514.38,54.01,51.41,42.33,80.71,9.08,21.24,28.23,9.08,13.74,3.53,-13.96,-0.17,79.94,72.38,147.04,-46.08,-172.4,-15.65,-24.07,4.52,0.66,0.68,0.97,0.84,2.01,11.95,30.53,1.25,1.55,6.42,56.81,9.8,40.59,38.77,2.45,148.8,1.38,1.77,0.86,0.0,0.01,3472.17,,,,,,,,,12.72,35.86,128.51,19.56,89.82,10.18,-43.44,3472.17,-1508.28,3118.67,141.57,376.12,0.0,1344.09,,12.72,128.51,19.56,,,,
1,(주)CMG제약,058820,2012,109.15,-4.12,0.0,0.0,-16.43,207.08,7.73,75.17,-8.43,0.0,0.0,0.0,,,,,28.34,-25.87,-40.97,-9.65,-9.96,-15.78,-16.95,-26.84,-10.14,-16.06,-15.33,-24.28,71.66,125.87,-15.1,-7.13,2.53,-0.01,0.14,0.0,-14.8,140.55,20.41,0.0,0.0,1.78,6.08,13.96,36.39,2.37,3.11,5.45,-4.31,,,-4.5,,,,332.74,-138.0,-32.19,,-86.09,82.49,6.27,471.15,77.32,17.51,55.32,44.68,95.69,31.65,19.87,693.49,649.98,68.81,292.29,7.33,323.41,680.8,90.38,80.77,21.5,0.57,59.27,46.44,70.6,30.58,55.28,-7.75,-2.49,-0.04,192.09,67.56,349.56,-8.1,-11.83,-3.62,-12.71,-10.22,0.39,0.39,0.66,0.59,0.93,7.83,46.62,0.52,0.57,5.71,63.97,10.82,24.32,26.08,1.85,197.16,1.48,1.71,0.42,0.0,0.0,269.31,,,,,,,,,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07,269.31,-6660.15,4712.51,411.52,401.09,0.0,1404.34,,0.47,10.67,1.66,,,,
2,(주)CMG제약,058820,2013,-2.09,16.09,0.0,0.0,77.05,-18.89,56.29,55.1,25.51,0.0,0.0,0.0,,,,,38.7,3.88,1.45,2.81,1.4,0.52,1.96,0.74,1.43,0.54,2.07,0.78,61.3,96.12,-2.35,-1.57,1.65,-0.04,0.26,0.0,1.12,98.55,23.56,0.0,0.0,1.59,5.27,9.25,28.56,2.08,80.14,12.02,13.12,,,11.18,,,,235.52,4.16,-45.47,,9.13,68.34,12.09,215.84,60.08,31.66,87.63,12.37,113.12,36.13,35.12,694.71,610.74,394.63,239.46,14.12,282.72,381.07,84.7,14.11,11.23,0.0,2.89,4.33,58.5,2.53,2.89,0.7,10.17,0.13,209.09,67.89,263.62,-39.85,-194.73,-4.93,-13.51,2.35,0.36,0.37,0.51,0.53,1.26,6.2,58.88,0.48,0.52,5.39,67.75,9.78,25.58,22.6,2.07,176.2,1.47,2.03,0.42,0.79,0.01,6994.9,,,,,,,,,12.51,77.91,289.4,34.29,71.28,28.72,4.23,6994.9,311.19,4986.26,337.4,243.9,0.0,1116.14,,12.51,289.4,34.29,,,,
3,(주)CMG제약,058820,2014,3.86,74.3,0.0,0.0,68.15,-25.93,6.37,0.01,11.52,-44.1,-46.64,-207.81,,,,,37.07,1.94,0.69,1.25,0.78,0.28,0.9,0.32,0.79,0.28,1.02,0.36,62.93,98.06,-1.25,0.5,-0.65,0.03,0.21,0.0,0.02,99.32,24.28,0.0,0.0,-0.64,6.35,6.88,20.33,-1.84,7.96,8.3,13.13,,,10.79,,,,262.65,1.82,8.37,,5.11,48.74,17.36,95.07,40.28,51.26,84.39,15.61,113.13,60.75,60.32,324.58,268.23,101.24,274.07,25.09,285.31,494.39,96.06,18.5,17.79,0.0,0.71,1.77,33.72,2.66,3.15,3.6,9.8,0.13,146.16,104.32,253.66,-17.73,-104.12,-2.77,-7.06,0.0,0.4,0.41,0.46,0.53,2.85,5.27,69.23,0.68,0.8,4.77,76.46,8.09,27.58,20.19,1.86,196.72,0.96,1.54,0.56,0.74,0.0,7061.34,,,,,,,,,12.16,37.8,132.06,31.04,79.3,20.7,2.24,7061.34,158.04,5599.85,-147.32,215.13,0.0,1464.84,,12.16,132.06,31.04,,,,
4,(주)CMG제약,058820,2015,-2.64,-5.37,0.0,0.0,1.66,-7.17,11.04,-4.48,18.85,0.0,0.0,0.0,,,,,36.26,-9.51,-13.5,-4.3,-4.49,-6.37,-5.37,-7.62,-4.51,-6.4,-5.88,-8.35,63.74,109.51,-3.99,0.11,-0.11,0.05,1.46,0.0,-6.42,113.24,19.91,0.0,0.0,-0.1,6.05,6.69,25.45,-0.32,1272.6,10.3,6.02,,,4.38,,,,306.26,-42.0,27.3,,-29.13,46.47,20.77,86.82,36.82,53.53,82.8,17.2,106.02,64.65,63.46,296.85,235.21,29.0,226.14,31.32,254.69,355.57,88.79,20.78,18.91,0.0,1.87,5.03,30.82,0.01,0.01,-32.22,4.7,0.06,100.9,110.99,208.31,16.12,24988.82,2.77,5.8,0.0,0.47,0.47,0.56,0.62,2.88,5.66,64.54,0.99,1.22,5.22,69.98,8.73,29.84,22.89,2.1,174.14,0.9,1.48,0.75,0.6,0.01,4315.37,,,,,,,,,7.63,24.21,90.92,15.96,144.1,-44.1,-84.58,4315.37,-3650.09,6218.5,-29.83,195.67,0.0,1890.05,,7.63,90.92,15.96,,,,
5,(주)CMG제약,058820,2016,96.31,-5.14,0.0,0.0,6.43,199.84,17.2,116.01,21.92,0.0,0.0,0.0,,,,,40.36,5.25,5.24,2.25,2.07,2.06,2.34,2.34,2.09,2.08,3.51,3.51,59.64,94.75,-0.27,-0.2,-0.47,-0.03,1.57,-3.12,1.88,95.06,21.14,0.0,0.0,-0.49,6.65,7.17,30.3,-1.57,0.0,0.0,86.02,,,46.05,,,,361.04,19.0,36.37,,18.95,70.98,8.12,244.58,65.22,29.02,91.1,8.9,186.02,31.85,31.62,862.15,792.17,23.52,195.22,9.18,219.41,243.98,88.97,9.76,9.04,0.0,0.73,1.06,62.75,0.0,0.0,999999999.0,42.13,0.86,159.3,94.74,332.58,29.03,0.0,2.58,8.69,0.0,0.39,0.4,0.45,0.67,3.36,6.26,58.3,0.63,0.71,5.56,65.59,7.68,43.98,37.37,2.66,137.38,1.06,1.9,0.54,0.51,0.01,10518.86,,,,,,,,,9.48,62.31,273.6,31.9,63.53,36.47,16.43,10518.86,1642.24,6682.92,-153.68,293.08,0.0,2100.67,,9.48,273.6,31.9,,,,
6,(주)CMG제약,058820,2017,-1.27,-4.28,0.0,0.0,-12.01,3.12,23.63,-3.13,25.98,-9.95,64.07,51.8,,,,,43.43,3.75,6.83,2.44,1.41,2.57,1.57,2.85,1.45,2.64,2.87,5.21,56.57,96.25,3.16,2.72,-2.72,-0.01,1.04,1.23,1.55,93.31,21.96,0.0,0.0,-2.82,4.64,7.04,45.84,-10.51,0.0,0.0,79.9,,,44.3,,,,381.71,26.0,17.9,,14.32,74.13,9.73,286.61,66.92,25.87,89.39,10.61,179.9,28.94,28.72,746.28,673.66,34.9,190.95,11.24,215.55,256.05,88.59,11.87,11.11,0.0,0.76,1.05,64.2,0.0,0.0,999999999.0,39.7,0.8,192.61,72.89,253.72,22.67,0.0,2.4,6.34,0.0,0.38,0.39,0.42,0.76,3.86,6.55,55.76,0.52,0.57,5.81,62.82,7.54,62.71,42.32,3.01,121.16,1.37,2.51,0.46,0.44,0.01,13710.01,,,,,,,,,12.51,84.87,389.08,33.01,64.09,35.91,20.68,13710.01,2870.32,8786.99,-1129.44,543.32,0.0,1854.79,,12.51,389.08,33.01,,,,
7,(주)CMG제약,058820,2018,4.39,6.71,0.0,0.0,16.47,0.18,8.45,6.16,20.05,64.75,113.94,103.53,,,,,45.6,5.15,12.16,2.74,2.29,5.42,2.54,6.01,2.44,5.76,4.72,11.14,54.4,94.85,2.18,2.22,-1.01,-0.02,1.67,-65.91,4.97,92.86,23.87,0.0,0.0,-1.06,3.89,8.03,51.24,-4.56,0.0,0.0,90.99,,,47.22,,,,457.95,56.0,8.14,,23.58,71.14,10.54,246.51,63.65,28.86,90.91,9.09,190.99,31.75,31.17,957.86,856.94,158.5,201.35,11.76,414.65,246.49,48.56,10.0,8.17,0.0,1.83,2.61,63.71,0.0,0.0,999999999.0,43.31,0.91,163.04,61.52,211.17,13.63,0.0,1.24,2.84,0.0,0.45,0.47,0.49,0.92,4.53,8.93,40.86,0.61,0.68,6.05,60.3,7.73,79.0,43.15,3.08,118.41,1.63,2.98,0.55,4.93,0.01,16847.65,,,,,,,,,14.73,106.25,478.91,33.79,67.33,32.67,36.0,16847.65,3655.6,11342.93,-502.12,505.13,0.0,1846.11,,14.73,478.91,33.79,,,,
8,(주)CMG제약,058820,2019,68.07,39.67,0.0,0.0,26.2,85.06,5.56,73.26,17.56,1.4,-49.69,-51.79,,,,,49.34,4.44,5.2,2.42,1.7,1.99,1.83,2.15,1.84,2.15,4.2,4.93,50.66,95.56,2.1,3.25,-1.86,0.48,1.05,20.47,1.28,93.7,24.23,0.0,0.0,-1.91,3.69,8.4,49.91,-9.71,3.0,6.0,159.42,,,60.98,,,,538.36,25.0,25.93,,23.91,78.33,6.01,361.47,73.62,21.67,93.71,6.29,259.42,23.12,22.77,1618.07,1520.84,199.55,224.24,6.41,468.79,278.95,47.83,6.71,5.17,45.27,1.54,1.97,73.49,0.15,0.16,303.0,57.59,1.59,197.84,63.69,304.09,15.35,647.74,0.96,3.16,0.0,0.38,0.41,0.41,0.95,5.21,13.81,26.43,0.51,0.55,6.65,54.86,8.21,74.31,66.64,3.12,116.9,1.57,2.83,0.47,0.0,0.01,19033.25,,,,,,,,,9.9,114.6,438.05,32.47,72.6,27.4,16.03,19033.25,3836.61,13817.61,-1091.09,477.47,0.0,2105.69,,9.9,438.05,32.47,,,,
9,(주)DB하이텍,000990,2011,-13.19,-7.89,0.0,0.0,-14.1,-10.08,-3.28,-22.6,-10.94,0.0,0.0,0.0,,,,,16.62,-7.81,-17.74,-2.91,-3.34,-7.59,-12.22,-27.74,-3.89,-8.84,-20.21,-45.89,83.38,110.96,-9.03,-8.9,9.4,-0.36,0.0,0.0,-3.57,113.85,20.38,0.0,0.0,7.77,18.36,13.78,155.02,5.54,8.13,7.71,80.99,,,55.76,,,,12865.19,-2541.0,1415.3,,-1005.29,23.33,27.57,30.43,16.9,76.67,25.69,74.31,143.54,298.42,227.36,35.2,25.5,5.04,101.16,0.0,336.28,4118.46,30.08,289.22,257.97,0.0,31.25,0.0,-42.95,59.0,229.64,-0.75,14.5,0.81,53.49,180.14,191.23,5.87,7.39,4.36,9.47,-0.83,0.43,0.5,1.56,2.59,0.59,20.51,17.79,1.87,2.54,7.04,51.83,321.15,20.16,13.65,6.12,59.6,0.56,0.7,0.72,0.0,0.01,217837.57,,,,,,,,,18.17,29.75,78.9,39.45,62.53,37.47,-44.96,217837.57,-93006.98,136223.0,51904.55,0.0,0.0,122718.0,,18.17,78.9,39.45,,,,
10,(주)DB하이텍,000990,2012,-3.44,-9.69,0.0,0.0,-7.69,10.52,2.79,-5.57,6.98,0.0,0.0,0.0,,,,,16.38,-2.64,-5.31,-0.98,-1.33,-2.66,-5.22,-10.47,-1.48,-2.97,-7.15,-14.34,83.62,102.64,-5.61,-6.04,7.81,1.1,0.0,0.0,1.25,106.34,20.56,0.0,0.0,6.9,16.6,16.26,177.56,5.25,7.36,7.23,66.82,,,50.23,,,,13272.77,-780.0,1659.73,,-350.96,26.7,25.64,36.43,19.86,73.3,25.13,74.87,130.71,291.73,140.89,55.66,41.39,7.19,86.17,0.0,384.99,2658.62,22.38,298.0,190.94,68.49,107.06,0.0,-21.27,58.88,234.33,-0.31,12.85,0.67,49.84,149.63,178.58,7.77,9.87,5.81,11.39,-0.34,0.5,0.56,1.97,2.7,0.67,28.86,12.65,2.01,2.73,7.56,48.31,264.75,21.51,14.9,8.08,45.19,0.67,0.82,0.61,0.0,0.01,245655.23,,,,,,,,,21.22,37.03,112.22,41.58,55.93,44.07,-12.76,245655.23,-48770.77,137384.0,46112.01,0.0,0.0,110930.46,,21.22,112.22,41.58,,,,
11,(주)DB하이텍,000990,2013,-8.58,-7.2,0.0,0.0,-1.55,-27.88,-8.69,-29.61,-16.42,0.0,0.0,0.0,,,,,18.08,-1.95,-16.82,-0.6,-0.87,-7.49,-3.88,-33.51,-0.98,-8.48,-4.32,-37.32,81.92,101.95,-14.54,-11.15,11.47,0.13,0.0,0.0,-2.38,110.95,22.66,0.0,0.0,9.98,15.45,14.65,219.47,6.58,8.97,8.85,28.12,,,31.58,,,,11092.77,-2066.0,637.61,,-215.91,21.07,32.46,26.69,14.23,78.93,19.35,80.65,92.0,408.01,143.66,46.76,31.58,7.39,81.82,0.0,199.26,2249.01,41.06,416.9,232.89,58.3,184.01,0.0,-23.99,62.73,324.25,-0.16,5.91,0.28,53.88,170.54,183.05,5.99,7.7,4.83,10.36,-0.17,0.45,0.5,1.99,2.22,0.57,20.81,17.54,1.86,2.6,6.51,56.05,189.83,17.36,13.15,7.74,47.13,0.59,0.75,0.63,0.0,0.01,191554.48,,,,,,,,,18.1,31.86,112.45,38.8,67.15,32.85,-43.35,191554.48,-81381.69,128629.0,56621.18,0.0,0.0,87686.0,,18.1,112.45,38.8,,,,
12,(주)DB하이텍,000990,2014,-6.95,-6.96,0.0,0.0,-11.75,11.04,-4.42,-41.05,14.98,0.0,0.0,0.0,,,,,24.11,8.03,-13.56,4.65,4.46,-7.54,28.0,-47.32,5.13,-8.68,20.47,-34.6,75.89,91.97,-23.7,-12.48,11.58,-0.38,0.0,0.0,-1.1,99.09,22.24,0.0,0.0,11.38,14.21,15.8,263.6,7.65,10.27,10.23,-10.15,,,-14.13,,,,12754.51,-1915.0,1080.14,,1023.57,25.14,27.94,33.58,18.11,74.86,12.26,87.74,54.23,610.83,121.18,65.77,47.39,10.72,118.14,0.0,225.55,1581.16,52.38,715.95,311.87,40.52,404.08,0.0,-13.08,66.85,545.5,0.67,-2.29,-0.1,41.44,138.51,153.39,4.42,5.81,3.88,6.73,0.69,0.56,0.64,3.49,2.55,0.66,17.22,21.2,2.41,3.45,8.02,45.51,145.53,20.37,16.96,8.06,45.31,0.72,0.92,0.86,0.0,0.01,187341.51,,,,,,,,,19.02,33.99,136.97,33.0,68.59,31.41,-41.11,187341.51,-88969.82,128497.0,65745.33,0.0,0.0,82069.0,,19.02,136.97,33.0,,,,
13,(주)DB하이텍,000990,2015,-0.02,-9.91,0.0,0.0,-12.26,36.42,20.64,110.48,17.42,174.29,0.0,0.0,,,,,34.46,18.75,19.01,12.83,12.69,12.87,66.69,67.63,14.36,14.56,56.15,56.94,65.54,81.25,-1.37,-9.22,7.31,-0.68,0.0,-9.42,17.82,81.53,22.35,0.0,0.0,7.85,13.35,17.29,283.52,6.11,9.52,8.45,24.76,,,40.43,,,,14975.9,3112.0,3431.1,,2807.58,34.3,24.71,52.21,25.83,65.7,25.8,74.2,114.15,254.62,87.35,138.4,104.2,44.31,110.29,89.06,207.92,1798.52,53.05,287.57,96.06,23.96,191.51,519.19,9.52,53.39,206.91,2.5,5.6,0.25,43.91,103.82,130.49,13.74,19.1,10.2,15.06,2.57,0.68,0.77,3.56,3.0,0.84,16.56,22.04,2.28,3.08,8.73,41.79,129.6,23.02,17.75,7.67,47.58,0.96,1.19,1.11,0.0,0.01,386127.3,,,,,,,,,39.21,78.88,230.24,57.93,35.93,64.07,32.82,386127.3,115824.13,138722.0,48703.17,0.0,0.0,82878.0,,39.21,230.24,57.93,,,,
14,(주)DB하이텍,000990,2016,0.22,2.73,0.0,0.0,-4.49,9.23,-8.52,34.58,15.98,37.98,-30.29,-23.75,,,,,37.51,22.3,11.43,17.66,17.49,8.96,57.86,29.65,19.48,9.98,77.48,39.7,62.49,77.7,-11.24,-4.78,4.85,-0.03,0.0,-3.33,12.76,80.49,21.63,0.0,0.0,5.84,12.36,16.71,295.71,5.45,9.26,8.25,64.24,,,56.68,,,,17369.58,2042.0,5578.65,,3873.81,37.39,20.69,59.71,29.65,62.61,34.65,65.35,153.63,180.71,86.71,134.53,106.69,42.15,144.42,80.62,249.46,3843.15,57.89,188.6,80.2,33.11,108.4,391.41,9.6,42.8,123.51,4.41,14.49,0.64,45.7,81.79,116.48,31.09,47.48,20.32,25.94,4.6,0.78,0.87,2.59,3.47,1.12,17.48,20.88,2.19,2.83,9.68,37.72,193.6,25.6,18.72,7.64,47.75,1.22,1.43,1.26,0.0,0.02,341049.1,,,,,,,,,34.56,67.56,173.22,44.11,40.69,59.31,25.9,341049.1,85493.54,138765.0,37461.56,0.0,0.0,79329.0,,34.56,173.22,44.11,,,,
15,(주)DB하이텍,000990,2017,0.73,1.44,0.0,0.0,3.63,-4.14,-1.74,33.31,-12.08,-16.95,24.71,29.62,,,,,37.3,21.07,16.21,14.66,14.46,11.12,35.9,27.62,15.82,12.17,64.34,49.5,62.7,78.93,-5.62,-2.53,3.19,-0.21,0.0,-4.97,13.32,79.03,23.12,0.0,0.0,3.79,12.27,14.64,300.74,3.67,6.66,6.09,115.41,,,67.22,,,,15271.17,2546.0,4114.12,,3217.06,35.58,21.21,55.23,28.03,64.42,45.86,54.14,204.8,140.48,75.44,243.53,191.87,74.02,114.25,35.99,252.94,4590.57,45.17,118.07,31.86,11.24,86.21,188.51,20.97,35.77,78.01,6.05,25.84,1.15,53.15,92.55,133.86,40.08,60.67,21.7,31.74,6.59,0.69,0.75,1.7,3.05,1.15,17.41,20.96,1.88,2.38,8.98,40.64,287.05,22.38,17.44,6.94,52.61,1.08,1.23,1.19,0.0,0.01,329388.04,,,,,,,,,33.14,63.21,148.35,48.46,40.2,59.8,33.45,329388.04,104961.6,132417.0,21715.44,0.0,0.0,70294.0,,33.14,148.35,48.46,,,,
16,(주)DB하이텍,000990,2018,7.3,7.56,0.0,0.0,6.69,8.4,-42.83,22.51,-1.54,-21.09,-21.19,-14.1,,,,,32.17,16.88,12.97,11.34,10.97,8.43,22.28,17.12,12.3,9.45,50.77,39.01,67.83,83.12,-2.52,-1.98,1.93,0.37,0.0,9.66,9.68,82.21,23.21,0.0,0.0,2.26,11.79,14.16,321.72,2.47,5.48,5.06,160.4,,,74.32,,,,15036.21,2002.0,4051.65,,2538.53,35.95,11.19,56.12,31.92,64.05,52.36,47.64,250.9,122.34,75.09,244.51,217.15,75.96,230.48,18.93,271.06,0.0,85.03,91.0,28.08,9.05,62.92,155.06,21.24,28.6,54.62,6.77,33.47,1.6,55.06,98.87,138.53,35.76,59.59,17.04,27.15,8.75,0.65,0.73,1.32,3.01,1.28,19.03,19.18,1.82,2.16,11.35,32.15,716.96,19.16,34.7,7.25,50.33,1.01,1.16,1.29,0.0,0.02,309084.25,,,,,,,,,28.98,61.13,140.95,46.18,42.92,57.08,28.09,309084.25,96114.0,132673.0,12916.25,0.0,0.0,67381.0,,28.98,140.95,46.18,,,,
17,(주)DB하이텍,000990,2019,2.1,3.18,0.0,0.0,-3.0,11.19,20.86,15.45,20.64,60.45,20.51,2.3,,,,,36.43,22.45,12.96,17.14,16.82,9.71,30.14,17.4,18.66,10.77,81.46,47.02,63.57,77.55,-4.62,-1.49,1.25,-0.09,0.0,27.32,10.64,78.55,22.31,0.0,0.0,1.55,12.36,16.02,300.58,2.11,5.34,4.84,199.0,,,78.14,,,,18139.64,2410.0,3618.83,,4072.96,39.15,12.16,64.33,34.39,60.85,59.2,40.8,289.66,102.79,76.24,194.01,170.41,38.58,196.81,25.1,332.91,0.0,59.12,68.91,34.08,25.48,34.83,108.7,18.97,23.21,39.2,13.44,40.67,1.99,50.14,83.34,125.81,38.43,67.56,15.68,21.14,18.0,0.75,0.83,1.34,3.63,1.7,24.06,15.17,1.99,2.26,17.05,21.41,0.0,18.86,1559.25,8.04,45.4,1.2,1.33,1.36,0.98,0.02,379212.5,,,,,,,,,34.83,67.3,135.21,46.97,38.21,61.79,27.59,379212.5,143965.44,144912.0,10070.06,0.0,0.0,80265.0,,34.83,135.21,46.97,,,,
27,(주)HJ중공업,097230,2011,-6.49,-1.53,0.0,-4.32,-2.58,-13.26,23.47,-4.59,-8.72,-9.82,0.0,0.0,,,,,7.85,3.73,-3.35,1.85,1.48,-1.33,5.65,-5.07,1.84,-1.66,44.94,-40.31,92.15,99.82,-6.56,-6.49,5.92,-0.39,0.21,0.0,1.02,102.53,6.48,4.17,1.07,5.45,3.58,4.73,20.37,3.19,5.8,6.6,672.79,,,78.23,,,,59879.7,-2007.0,-8320.58,,2236.02,33.99,15.08,51.48,28.86,66.01,26.53,73.47,772.2,248.82,102.0,96.33,81.81,34.4,78.7,0.0,132.35,610.82,59.46,276.93,132.98,32.69,143.94,0.0,-1.29,48.42,182.52,0.55,23.12,6.74,89.03,162.77,194.47,-0.99,-1.51,-0.73,-1.77,0.63,0.4,0.49,1.51,12.04,0.54,10.41,35.07,1.12,1.29,8.86,41.19,45.07,14.77,563.86,10.97,33.26,0.61,0.91,0.52,0.11,0.03,494018.0,,,,,,,,,7.02,15.81,125.15,17.09,41.15,58.85,-19.62,494018.0,-81762.0,203264.0,171148.0,55467.0,33450.0,112451.0,,7.02,125.15,17.09,,,,
28,(주)HJ중공업,097230,2012,-6.42,-7.72,0.0,-5.87,-7.2,-4.91,-37.93,-8.1,-11.83,-50.99,0.0,0.0,,,,,7.49,2.08,-2.09,1.05,0.78,-0.78,2.95,-2.95,0.98,-0.99,21.92,-21.88,92.51,97.92,-3.76,-7.74,6.86,-1.0,0.13,0.0,1.78,100.5,7.68,5.93,1.08,6.29,3.98,4.97,26.19,3.48,5.22,5.43,610.26,,,80.83,,,,52793.54,-1095.0,-1747.64,,1095.79,34.54,9.84,52.76,31.14,65.46,26.05,73.95,709.67,251.29,104.21,92.89,83.75,29.88,107.37,0.0,96.91,1602.09,110.8,283.85,142.72,46.07,141.14,0.0,-2.64,56.24,215.87,0.27,22.41,6.11,91.51,175.66,202.46,-4.99,-6.56,-3.69,-9.54,0.3,0.37,0.47,1.42,10.56,0.51,11.03,33.1,1.09,1.25,8.72,41.84,82.96,12.52,114.44,9.73,37.52,0.57,0.84,0.53,0.13,0.02,543885.0,,,,,,,,,8.26,19.11,156.53,21.33,39.22,60.78,-9.78,543885.0,-43042.0,213333.0,174784.0,58026.0,30092.0,110692.0,,8.26,156.53,21.33,,,,
